resp_ID,t_start,t_end,Status,p_ID,unique_qu_ID,erase,condition,exposure,room,view_access,exp_duration_original,exp_duration,light_level_sensation,visual_comfort,glare_Osterhaus,glare_binary,glare_branch_accept,glare_likert4,glare_reflection_screen_likert4,glare_agreement5,colors_outside_agreement5,view_satisfaction_interval10__5only,work_all_day_changes__30only,work_all_day_changes_WHAT,work_all_day_changes_WHY
10,18.05.21 13:50,18.05.21 14:00,Complete,301,301_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Noticeable,No,NA,Not at all,Not at all,Agree,Agree,7,NA,NA,NA
13,18.05.21 14:34,18.05.21 14:37,Complete,301,301_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
15,18.05.21 14:31,18.05.21 14:54,Complete,301,301_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Neither agree nor disagree,Neither agree nor disagree,3,NA,NA,NA
18,18.05.21 15:20,18.05.21 15:25,Complete,301,301_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
9,18.05.21 13:43,18.05.21 13:57,Complete,302,302_NG_1_Blurr_q1,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly high,Uncomfortable,Noticeable,Yes,Acceptable,Slightly,Moderately,Disagree,Agree,5,NA,NA,NA
11,18.05.21 14:19,18.05.21 14:27,Complete,302,302_NG_1_Blurr_q2,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Just right,Uncomfortable,Noticeable,Yes,Acceptable,Slightly,Moderately,Neither agree nor disagree,Neither agree nor disagree,NA,"Yes, I would like the following changes:","I won't put the desk in front of the windows, there is too much light",There is too much light
14,18.05.21 14:40,18.05.21 14:52,Complete,302,302_NG_2_Clear_q1,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Slightly,Neither agree nor disagree,Neither agree nor disagree,8,NA,NA,NA
16,18.05.21 15:10,18.05.21 15:15,Complete,302,302_NG_2_Clear_q2,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Slightly,Neither agree nor disagree,Neither agree nor disagree,NA,"No, even though I am somewhat uncomfortable",NA,NA
19,18.05.21 17:17,18.05.21 17:21,Complete,303,303_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,7,NA,NA,NA
20,18.05.21 17:42,18.05.21 17:49,Complete,303,303_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,I have no preference,NA,NA
