"unique_qu_ID","session_number","condition.x","exposure_nr","siblings","qu","qu_usable","qu1_qu2","qu_nr","resp_ID","t_start","t_end","Status","p_ID","erase","condition.y","exposure","room","view_access","exp_duration_original","exp_duration","anything_disturbing","thermal_sensation","thermal_satisfaction","air_qual_satisfaction","acoustics_satisfaction","overall_comfort","light_level_sensation","visual_comfort","glare_Osterhaus","glare_binary","glare_branch_accept","glare_likert4","glare_reflection_screen_likert4","glare_agreement5","colors_outside_agreement5","view_satisfaction_interval10__5only","work_all_day_changes__30only","work_all_day_changes_WHAT","work_all_day_changes_WHY","feel_happy","feel_sad","feel_tired","feel_anxious","feel_calm","feel_relaxed","feel_focused","feel_wide_awake","feel_connected_nature","feel_aware_time_of_day","stress_likert4","eye_dry_likert4","eye_blurry_likert4","eye_strain_likert4","exposure_name","comment","condition","desk_angle","subjectID","participants","LMK_name","max","dgp","av_lum","E_v","lum_backg","E_v_dir","dgi","ugr","vcp","cgi","lum_sources","omega_sources","Lveil","Lveil_cie","dgr","ugp","ugr_exp","dgi_mod","av_lum_pos","av_lum_pos2","med_lum","med_lum_pos","med_lum_pos2","ugp2","screen","glare_Osterhaus_bin","glare_likert4_bin","glare_agreement5_bin","glare_acceptable_bin","view_qr_nr"
"301_NG_1_Clear_q1",1,"NG","301_NG_1_Clear","131","no",NA,"no",1,10,2021-05-18 13:50:40,2021-05-18 14:00:37,"Complete",301,"keep","NG","Exposure 1","BP 2243 (end of the corridor)","yes","About 5 minutes","05min","no",2,0,0,-1,3,"Just right","Comfortable","Noticeable","No",NA,"Not at all","Not at all","Agree","Agree",7,NA,NA,NA,"Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly disagree","Strongly agree",1,1,0,1,"301_NG_1_Clear_q1-scrON",NA,"NG","not45°","301","p301-302","20210518-140345-157",12744.8,0.398704,898.114649,3792.991822,254.324553,2994.007662,20.478819,27.292105,0,31.882906,5708.598098,0.68232,495.857666,27.566259,750.465027,"0.88699300000000003","26.711003999999999",19.415518,281.913271,19.56376,295.769531,51.237562,10.017867,0.643925,"scrON",0,0,0,NA,"yes & qu.1"
"301_NG_1_Clear_q2",1,"NG","301_NG_1_Clear","131","no","no","no",2,13,2021-05-18 14:34:08,2021-05-18 14:37:23,"Complete",301,"keep","NG","Exposure 1","BP 2243 (end of the corridor)","yes","About 30 minutes","30min","No",2,0,0,0,3,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Agree","Agree",NA,"No, I am comfortable and do not require changes",NA,NA,"Neither agree nor disagree","Strongly disagree","Agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly disagree","Agree",0,1,0,1,"301_NG_1_Clear_q2-scrON",NA,"NG","not45°","301","p301-302","20210518-143914-594",15250.8,0.381207,848.366083,3521.317937,235.440152,2781.660873,19.853392,26.674381,4.29012,31.037495,5454.657801,0.680477,426.280029,22.122526,453.849396,"0.86691700000000005","25.992825",18.77268,255.515369,17.266379,265.003906,45.209235,8.873245,0.633973,"scrON",0,0,0,NA,"yes & qu.2"
"301_NG_2_Blurr_q1",2,"NG","301_NG_2_Blurr","132","no",NA,"no",1,15,2021-05-18 14:31:23,2021-05-18 14:54:06,"Complete",301,"keep","NG","Exposure 2","BP 2229 (center of the building)","no","About 5 minutes","05min","no",2,0,0,0,3,"Slightly low","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Neither agree nor disagree","Neither agree nor disagree",3,NA,NA,NA,"Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree",1,1,0,1,"301_NG_2_Blurr_q1-scrON",NA,"NG","not45°","301","p301-302","20210518-145650-017",18258,0.360205,772.834188,3185.108637,238.761635,2435.016828,19.229404,25.619356,5.059582,29.991922,4395.865906,0.743366,390.65921,20.485109,427.580048,"0.83262899999999995","25.339281",18.300327,228.19918,14.695086,251.019531,44.462834,9.090003,0.616556,"scrON",0,0,0,NA,"no & qu.1"
"301_NG_2_Blurr_q2",2,"NG","301_NG_2_Blurr","132","no",NA,"no",2,18,2021-05-18 15:20:06,2021-05-18 15:25:15,"Complete",301,"keep","NG","Exposure 2","BP 2229 (center of the building)","no","About 30 minutes","30min","NO",2,1,1,1,3,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Agree","Agree",NA,"No, I am comfortable and do not require changes",NA,NA,"Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree",0,1,0,1,"301_NG_2_Blurr_q2-scrON",NA,"NG","not45°","301","p301-302","20210518-152900-975",7804.4,0.289493,489.543727,2025.571083,197.452543,1405.255617,16.620491,22.502596,6.688785,26.286505,3737.690551,0.514783,201.702454,9.873795,384.715637,"0.73133400000000004","21.213429999999999",16.121641,140.993774,9.071074,155.576172,26.361738,5.019769,0.562168,"scrON",0,0,0,NA,"no & qu.2"
"302_NG_1_Blurr_q1",3,"NG","302_NG_1_Blurr","131","yes","no","no",1,9,2021-05-18 13:43:11,2021-05-18 13:57:45,"Complete",302,"keep","NG","Exposure 1","BP 2229 (center of the building)","no","About 5 minutes","05min","Lot of light",5,1,1,-1,3,"Slightly high","Uncomfortable","Noticeable","Yes","Acceptable","Slightly","Moderately","Disagree","Agree",5,NA,NA,NA,"Disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly disagree","Agree",1,1,1,1,"302_NG_1_Blurr_q1-scrON",NA,"NG","not45°","302","p301-302","20210518-135941-362",13281.8,0.368169,812.347429,3335.971514,301.966466,2387.315869,18.385836,24.838444,7.588586,29.80925,6203.476474,0.526441,342.834381,16.805835,365.969086,"0.80724899999999999","23.522355999999998",17.910156,231.231999,14.434242,255.214844,44.22733,8.598387,0.603331,"scrON",0,0,1,NA,"no & qu.1"
"302_NG_1_Blurr_q2",3,"NG","302_NG_1_Blurr","131","no",NA,"no",2,11,2021-05-18 14:19:34,2021-05-18 14:27:34,"Complete",302,"keep","NG","Exposure 1","BP 2229 (center of the building)","no","About 30 minutes","30min","A little noise from the computer",5,1,0,-1,3,"Just right","Uncomfortable","Noticeable","Yes","Acceptable","Slightly","Moderately","Neither agree nor disagree","Neither agree nor disagree",NA,"Yes, I would like the following changes:","I won't put the desk in front of the windows, there is too much light","There is too much light","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Disagree","Disagree","Neither agree nor disagree",1,1,1,1,"302_NG_1_Blurr_q2-scrON",NA,"NG","not45°","302","p301-302","20210518-142955-454",10364.1,0.328386,666.772649,2678.038283,259.515953,1862.744861,17.386486,23.567759,4.374377,28.078831,5030.646399,0.520169,256.797394,12.0107,450.715271,"0.76595199999999997","22.216583",16.980839,187.037316,11.737794,213.261719,37.28483,7.14546,0.581228,"scrON",0,0,0,NA,"no & qu.2"
"302_NG_2_Clear_q1",4,"NG","302_NG_2_Clear","132","no",NA,"no",1,14,2021-05-18 14:40:17,2021-05-18 14:52:03,"Complete",302,"keep","NG","Exposure 2","BP 2243 (end of the corridor)","yes","About 5 minutes","05min","No it is okay",5,1,1,0,3,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Slightly","Neither agree nor disagree","Neither agree nor disagree",8,NA,NA,NA,"Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree",1,1,1,1,"302_NG_2_Clear_q1-scrON",NA,"NG","not45°","302","p301-302","20210518-145403-234",18437,0.397027,880.66699,3747.949014,253.652749,2951.075389,21.030935,27.460463,9.905805,32.040623,5100.237578,0.728907,533.799683,32.689873,327.632782,"0.89246499999999995","27.201588000000001",19.903841,287.492945,20.702311,312.550781,54.948219,10.8396,0.646605,"scrON",0,0,0,NA,"yes & qu.1"
"302_NG_2_Clear_q2",4,"NG","302_NG_2_Clear","132","no",NA,"no",2,16,2021-05-18 15:10:05,2021-05-18 15:15:58,"Complete",302,"keep","NG","Exposure 2","BP 2243 (end of the corridor)","yes","About 30 minutes","30min","Nothing",5,1,0,0,3,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Slightly","Neither agree nor disagree","Neither agree nor disagree",NA,"No, even though I am somewhat uncomfortable",NA,NA,"Neither agree nor disagree","Disagree","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",1,1,1,1,"302_NG_2_Clear_q2-scrON",NA,"NG","not45°","302","p301-302","20210518-152039-395",8878.4,0.299195,513.628645,2136.197601,163.893953,1621.309555,18.359739,24.491472,3.20526,27.816637,3340.538043,0.643529,257.764374,13.69701,502.039886,"0.79597300000000004","23.777353000000002",17.352554,158.44192,11.008743,170.259766,29.860012,5.815968,0.597366,"scrON",0,0,0,NA,"yes & qu.2"
"303_NG_1_Clear_q1",5,"NG","303_NG_1_Clear","*not a pair","no",NA,"no",1,19,2021-05-18 17:17:40,2021-05-18 17:21:00,"Complete",303,"keep","NG","Exposure 1","BP 2243 (end of the corridor)","yes","About 5 minutes","05min","No",5,0,0,0,3,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Agree","Agree",7,NA,NA,NA,"Agree","Disagree","Neither agree nor disagree","Disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree",0,0,0,0,"303_NG_1_Clear_q1-scrON","ADDED (no image)","NG",NA,"303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scrON",0,0,0,NA,"yes & qu.1"
"303_NG_1_Clear_q2",5,"NG","303_NG_1_Clear","*not a pair","yes",NA,"no",2,20,2021-05-18 17:42:50,2021-05-18 17:49:57,"Complete",303,"keep","NG","Exposure 1","BP 2243 (end of the corridor)","yes","About 30 minutes","30min","No",4,1,0,0,3,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Agree","Agree",NA,"I have no preference",NA,NA,"Agree","Disagree","Neither agree nor disagree","Disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree",0,0,0,0,"303_NG_1_Clear_q2-scrON","lightly veiled sun","NG","45°","303","p303-304","20210518-175103-276",1079370,0.36296,732.875477,2971.768335,206.369302,2323.440041,21.772083,28.932674,6.022924,32.904903,6381.25608,0.527509,284.341309,12.471109,400.587677,"0.94031200000000004","23.908442999999998",20.902298,195.923144,11.127895,157.673828,29.743646,5.936196,0.669455,"scrON",0,0,0,NA,"yes & qu.2"
