"session_number","condition","exposure_nr","siblings","Dev<25","qu_usable","qu1_qu2","qu_nr","unique_qu_ID"
1,"NG","301_NG_1_Clear","131","no","no",1,1,"301_NG_1_Clear_q1"
2,"NG","301_NG_2_Blurr","132","no","no",1,1,"301_NG_2_Blurr_q1"
3,"NG","302_NG_1_Blurr","131","yes","no",1,1,"302_NG_1_Blurr_q1"
4,"NG","302_NG_2_Clear","132","no","no",1,1,"302_NG_2_Clear_q1"
5,"NG","303_NG_1_Clear","*not a pair","no","no",1,1,"303_NG_1_Clear_q1"
6,"NG","303_NG_2_Blurr","144","yes","no",1,1,"303_NG_2_Blurr_q1"
7,"NG","304_NG_1_Clear","144","yes","yes",1,1,"304_NG_1_Clear_q1"
8,"NG","304_NG_2_Blurr","*not a pair","no","no",1,1,"304_NG_2_Blurr_q1"
9,"G3","305_G3_1_Blurr","161","yes","yes",1,1,"305_G3_1_Blurr_q1"
10,"G3","305_G3_2_Clear","162","yes","yes",1,1,"305_G3_2_Clear_q1"
11,"G3","306_G3_1_Clear","161","yes","yes",1,1,"306_G3_1_Clear_q1"
12,"G3","306_G3_2_Blurr","162","no","no",1,1,"306_G3_2_Blurr_q1"
13,"NG","307_NG_1_Clear","211","yes","yes",1,1,"307_NG_1_Clear_q1"
14,"NG","307_NG_2_Blurr","212","yes","yes",1,1,"307_NG_2_Blurr_q1"
15,"NG","308_NG_1_Blurr","211","yes","yes",1,1,"308_NG_1_Blurr_q1"
16,"NG","308_NG_2_Clear","212","yes","yes",1,1,"308_NG_2_Clear_q1"
17,"G3","309_G3_1_Clear","211","yes","yes",1,1,"309_G3_1_Clear_q1"
18,"G3","309_G3_2_Blurr","212","yes","yes",1,1,"309_G3_2_Blurr_q1"
19,"G3","310_G3_1_Blurr","211","yes","yes",1,1,"310_G3_1_Blurr_q1"
20,"G3","310_G3_2_Clear","212","yes","yes",1,1,"310_G3_2_Clear_q1"
21,"G3","311_G3_1_Blurr","281","yes","yes",1,1,"311_G3_1_Blurr_q1"
22,"G3","311_G3_2_Clear","282","yes","yes",1,1,"311_G3_2_Clear_q1"
